2	abdul	abdu
3	aben	mengaben
4	abrek	seabrek
5	abrit-abrit	abrit abritan
6	acau	mengacau
7	aco	mengaco
8	aco-acoan	acoan
9	acu	mengacu
10	acum	mengacum
11	acung	mengacung
12	adan	azan
13	adap	adap adapan
14	adeh	beradeh
15	adjektif	adjektiva
16	adon	mengadon
17	adpertensi	advertensi
18	adpis	advis
19	adstringen	astringen
20	adu	beradu
21	adu domba	mengadu domba
22	adu untung	mengadu untung
23	aduk	mengaduk
24	aestetika	estetika
25	afdol	afdal
26	afkir	apkir
27	agel	agal
28	agribisnis	agrobisnis
29	aih	ai
30	ajektiva	adjektiva
31	aju	mengajukan
32	ajuk	mengajuk
33	ajung	jung
34	akasa	angkasa
35	aklimasi	aklimatisasi
36	akomodir	akomodasi
37	aksara pegon	pegon
38	akte	akta
39	aktip	aktif
40	alau	burung
41	algoritma	algoritme
42	ali	mengali
43	alihragam	alih ragam
44	alik	ulang
45	aling	mengalingi
46	almari	lemari
47	alobar	angin
48	alpokat	avokad
49	amandemen	amendemen
50	amarah	marah
51	ambalela	balela
52	ambeg	ambek
53	amberal	admiral
54	ambil alih	mengambil alih
55	amien	amin
56	ammi	ami
57	ampelam	mempelam
58	ampibi	amfibi
59	amplas	ampelas
60	ampu	mengampu
61	ampung	apung
62	amputir	amputasi
63	amuba	ameba
64	anakda	ananda
65	analisa	analisis
66	anamel	enamel
67	ancam	mengancam
68	ancang	ancang ancang
69	andam	mengandam
70	anduh	menganduh
71	anestesia	anestesi
72	angga	berangga
73	anggap	menganggap
74	anggit	menganggit
75	anggul	beranggul
76	anggut	beranggut
77	angkus	angkusa
78	angkut	mengangkut
79	angus	hangus
80	anjak	beranjak
81	anjal	menganjal
82	ansor	ansar
83	antar	berantar
84	antari	baju
85	antih	mengantih
86	antimon	antimonium
87	antri	antre
88	antuk	berantuk
89	antul	mengantul
90	anulir	menganulir
91	anut	menganut
92	anyak	enyak
93	anyak-anyik	onyak anyik
94	anyam	menganyam
95	anyik	onyak anyik
